name,repeat,p_avg_w,duration_ms,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
dijkstra,3,5.052101,95163,95.1620523,0x1130b7c2,0x00000000,0x0004e200,0x00000000,0x00000000,0x00000000,0x000037f0,0x00000000,0x06f35ece,0x00000000,0x0602d45a,0x00000000,0x00000000,0x00000000,0x00064fa0,0x00000000,0xe47a8717,0x1d331ac2
gcd,1,5.044826,51734,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x2329e122,0x41ffddf0
gcd,2,5.044885,51735,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x47db0224,0x66b0fef2
gcd,3,5.044881,51736,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x6cc56822,0x8b9b64f0
sort,1,5.055691,15295,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x91a7e6a0,0x9ac58876
sort,2,5.055802,15295,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xa0b4f26a,0xa9d29440
sort,3,5.055807,15295,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xafc9b52e,0xb8e75704
matmul,1,5.052776,17843,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbeebde8a,0xc98e5f9b
matmul,2,5.052672,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xd01ed883,0xdac15994
matmul,3,5.052672,17842,17.8422033,0x03e8c365,0x00000000,0x01499700,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x016452ca,0x00000000,0x00ae9751,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe09cf234,0xeb3f7345
crc,1,5.056067,49186,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20649c27,0x3db57e3c
crc,2,5.056084,49186,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x43ae92da,0x60ff74ef
crc,3,5.056029,49185,49.1840021,0x116a0211,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x009d7884,0x00000000,0x02be83c1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x67232ed9,0x847410ee
strings,1,5.051859,58540,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x8a694dc6,0xad4dcc9c
strings,2,5.05188,58540,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xb459265e,0xd73da534
strings,3,5.051988,58541,58.5400022,0x0cfe6a91,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0493e004,0x00000000,0x03c14dc1,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xdd3ce036,0x00215f0c
