name,repeat,p_avg_w,duration_ms,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
alu,2,5.059745,13601,13.6000002,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xfbc33391,0x03de6593
alu,3,5.059782,13601,13.6000002,0x07bfa48d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000002,0x00000000,0x001e847f,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x09eba469,0x1206d66b
div,1,5.044508,12133,12.1320002,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x18111cb1,0x1f4c4ef3
div,2,5.0446,12133,12.1320002,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x2582a6ad,0x2cbdd8ef
div,3,5.044763,12133,12.1320002,0x00015f9d,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0057e400,0x00000000,0x00000002,0x00000000,0x00015f8f,0x00000000,0x00000000,0x00000000,0x0735b400,0x00000000,0x32e0b3fd,0x3a1be63f
gcd,1,5.048094,51735,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x403dab47,0x5f13a815
gcd,2,5.048051,51736,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x650ca0d1,0x83e29d9f
gcd,3,5.047182,51736,51.7340366,0x02636d1b,0x00000000,0x00124f80,0x00000000,0x00000000,0x00000000,0x00f92ddb,0x00000000,0x0000ea64,0x00000000,0x0196ce37,0x00000000,0x00000000,0x00000000,0x17889bad,0x00000000,0x89ca00cb,0xa89ffd99
sort,1,5.058534,15294,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xaea853ad,0xb7c5f583
sort,2,5.058774,15294,15.2936918,0x02b594f4,0x00000000,0x000ea600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0191be12,0x00000000,0x00d4e13a,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xbdffca7b,0xc71d6c51
